Time (s),ap2Mem,leg
23.085,155,10
23.1,155,9
23.115,154,8
23.13,156,10
23.145,155,9
23.16,154,9
23.175,153,11
23.19,154,11
23.205,157,10
23.22,160,9
23.235,160,9
23.25,160,11
23.265,158,13
23.28,156,14
23.295,154,15
23.31,156,13
23.325,160,14
23.34,159,15
23.355,159,12
23.37,159,12
23.385,154,13
23.4,156,11
23.415,155,12
23.43,154,9
23.445,153,8
23.46,156,10
23.475,155,12
23.49,154,15
23.505,156,16
23.52,157,14
23.535,157,18
23.55,158,16
23.565,159,19
23.58,158,17
23.595,160,13
23.61,158,15
23.625,160,17
23.64,161,15
23.655,160,15
23.67,160,15
23.685,159,14
23.7,161,14
23.715,161,11
23.73,160,13
23.745,161,15
23.76,162,14
23.775,164,12
23.79,161,14
23.805,162,12
23.82,160,10
23.835,160,7
23.85,159,7
23.865,158,9
23.88,159,8
23.895,158,8
23.91,158,8
23.925,159,7
23.94,159,8
23.955,163,7
23.97,165,8
23.985,163,8
24,162,10
24.015,166,11
24.03,165,12
24.045,163,12
24.06,166,13
24.075,165,12
24.09,166,10
24.105,164,10
24.12,163,10
24.135,162,12
24.15,165,10
24.165,164,9
24.18,160,8
24.195,163,8
24.21,162,8
24.225,161,9
24.24,160,10
24.255,163,11
24.27,164,10
24.285,163,10
24.3,163,10
24.315,163,8
24.33,164,10
24.345,160,9
24.36,159,9
24.375,162,9
24.39,162,8
24.405,163,8
24.42,161,9
24.435,163,11
24.45,164,11
24.465,165,12
24.48,164,11
24.495,163,12
24.51,160,13
24.525,162,13
24.54,159,12
24.555,159,9
24.57,155,9
24.585,157,9
24.6,155,11
24.615,153,14
24.63,154,14
24.645,153,15
24.66,150,15
24.675,153,14
24.69,152,12
24.705,150,14
24.72,148,9
24.735,152,8
24.75,150,12
24.765,152,15
24.78,152,16
24.795,154,17
24.81,152,17
24.825,154,14
24.84,156,13
24.855,160,14
24.87,161,14
24.885,163,13
24.9,163,15
24.915,163,15
24.93,162,12
24.945,163,10
24.96,162,9
24.975,163,7
24.99,161,7
25.005,162,9
25.02,162,10
25.035,160,12
25.05,157,12
25.065,158,14
25.08,156,12
25.095,158,12
25.11,158,10
25.125,156,10
25.14,158,11
25.155,159,12
25.17,159,12
25.185,160,12
25.2,159,12
25.215,158,12
25.23,160,12
25.245,161,14
25.26,161,13
25.275,161,10
25.29,163,10
25.305,164,9
25.32,163,9
25.335,166,10
25.35,164,11
25.365,165,13
25.38,164,11
25.395,166,15
25.41,166,13
25.425,166,13
25.44,166,12
25.455,168,8
25.47,166,7
25.485,167,7
25.5,167,8
25.515,167,6
25.53,165,8
25.545,164,5
25.56,161,6
25.575,163,6
25.59,159,8
25.605,157,7
25.62,156,5
25.635,158,3
25.65,157,5
25.665,158,4
25.68,160,4
25.695,159,7
25.71,159,7
25.725,159,9
25.74,157,8
25.755,159,8
25.77,163,9
25.785,163,8
25.8,166,10
25.815,169,10
25.83,169,13
25.845,166,12
25.86,167,10
25.875,164,11
25.89,164,12
25.905,165,11
25.92,165,9
25.935,167,8
25.95,162,6
25.965,161,9
25.98,160,8
25.995,162,10
26.01,165,10
26.025,163,11
26.04,164,12
26.055,162,10
26.07,160,9
